feature,orders_importance,carts_importance,clicks_importance
i_item_order_ratio,207,53,115
ui_itemcf_mean_sim,155,193,373
candidate_rank_1,148,239,538
ui_history_cart_count,132,23,29
ui_w2v_mean_sim,132,75,273
ui_w2v_last_sim,130,222,403
i_item_cart_ratio,127,238,149
ui_last_ts_diff,125,102,243
ui_w2v_max_sim,118,216,390
ui_sim_chage,109,113,395
i_item_click_ratio,108,157,117
ui_itemcf_sim,105,189,470
ui_itemcf_max_sim,96,124,265
ui_covisit_time_weight_max,96,158,272
candidate_rank_2,95,35,95
i_item_order_averge_hour,90,27,107
ui_type_weight_log_score,84,80,189
i_item_cart_count,82,59,143
i_item_cart_ratio_test_week,81,86,79
ui_covisit_op_weight,79,173,172
i_item_cart_nunique_test_week,77,129,67
i_item_nunique,77,78,211
i_item_click_nunique,76,119,136
i_item_cart_nunique,74,76,140
ui_covisit_op_weight_mean,73,76,157
ui_bm25_mean_sim,72,61,99
ui_covisit_op_weight_max,72,112,148
i_item_click_averge_hour,72,55,175
ui_last_type,70,21,26
i_item_cart_averge_hour,67,49,165
ui_covisit_time_weight,66,139,249
ui_log_score,66,57,127
i_item_order_nunique,64,32,59
ui_covisit_time_weight_mean,63,69,192
i_item_cart_ratio_change,60,47,148
u_order_ratio,60,12,10
ui_cos_mean_sim,59,59,179
i_item_averge_hour,57,46,163
u_session_end_time,57,45,271
u_cart_ratio,57,64,70
i_item_click_ratio_change,56,69,134
i_item_count_test_week,56,96,179
ui_bm25_max_sim,55,71,199
u_session_hour_average_gap,54,44,116
i_item_nunique_test_week,53,89,227
ui_tfidf_mean_sim,53,68,167
u_session_nunique_ratio,53,48,264
i_item_order_count,53,40,83
u_cart_nunique,52,42,18
i_item_order_ratio_change,51,39,135
u_session_median_unique,51,107,384
ui_item_cf_sim_chage,51,70,312
i_item_click_count_test_week,50,70,181
i_item_cart_count_test_week,49,73,78
i_item_count,47,67,283
i_item_click_count,47,75,291
ui_action_reverse_cart,46,11,18
ui_history_order_count,46,0,6
u_log_session_average_gap,45,65,182
i_item_order_nunique_test_week,45,22,27
u_log_session_cart_average_gap,41,30,48
i_item_click_ratio_test_week,40,44,117
ui_bm25_last_sim,37,24,102
i_item_start_time_hour,37,48,118
i_item_order_ratio_test_week,36,34,62
u_log_session_click_average_gap,36,60,230
i_item_click_nunique_test_week,36,39,359
u_session_averge_hour,33,17,74
candidate_rank_3,32,43,87
u_cart_count,30,16,15
u_click_ratio,29,61,79
ui_action_reverse_click,29,24,107
ui_action_reverse,28,32,91
ui_cos_last_sim,28,29,104
ui_history_click_count,27,31,44
i_item_order_count_test_week,24,26,46
u_session_real_count,24,18,46
u_session_real_nunique,22,17,184
u_click_count,22,16,35
u_session_std_hour,22,14,50
ui_tfidf_last_sim,21,50,108
u_session_hour_length,19,15,44
ui_session_aid_count,17,15,33
u_session_length,16,9,83
ui_cos_max_sim,16,36,114
u_click_nunique,11,18,150
ui_tfidf_max_sim,11,32,70
u_session_nunique,9,26,120
i_item_start_time,9,17,21
ui_action_reverse_order,8,0,9
u_session_last_action_hour,7,14,58
u_log_session_order_average_gap,7,1,3
u_order_nunique,6,2,1
u_order_count,5,2,1
u_session_last_action_weekday,2,3,24
u_session_nunique_hour,2,3,10
